OpCode,Drop,Rig,Region,Island,Lat,Long,Depth,Family,Genus,Species,Code,Number,Activity,Comment,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader
BIOT_7097_EAGL_074_RIG5,74,RIG5,Eagle Island,Eagle Island,06 11.071,71 19.481,8.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,26555,14.7675,682.218,2.247,13.606,2294.727,8.567,0.291,3.111,-232.984,-250.144,-2269.123,Lauren Peel
BIOT_7097_EAGL_074_RIG5,74,RIG5,Eagle Island,Eagle Island,06 11.071,71 19.481,8.0 m,Ginglymostomatidae,Nebrius,ferrugineus,37013010,1,Attracted,,11668,24.207,1241.443,5.606,14.109,3129.357,16.888,9.349,4.04,656.436,-628.928,-2994.397,Lauren Peel
BIOT_7097_EAGL_075_RIG6,75,RIG6,Eagle Island,Eagle Island,06 11.231,71 19.338,9.7 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,Male,3912,37.6115,836.979,4.136,5.158,2209.285,18.183,21.556,6.248,-661.687,-193.531,-2098.965,Lauren Peel
BIOT_7097_EAGL_075_RIG6,75,RIG6,Eagle Island,Eagle Island,06 11.231,71 19.338,9.7 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,2071,54.3054,780.359,2.525,4.354,2168.418,10.457,6.051,6.651,-326.166,-220.212,-2132.407,Lauren Peel
BIOT_7097_EAGL_075_RIG6,75,RIG6,Eagle Island,Eagle Island,06 11.231,71 19.338,9.7 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Female,9912,58.6659,1020.406,6.201,6.92,2936.166,24.693,1.134,12.389,-1174.962,-352.099,-2667.688,Lauren Peel
BIOT_7097_EAGL_076_RIG6,76,RIG6,Eagle Island,Eagle Island,06 11.653,71 19.084,8.4 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Passing,,8504,57.8829,1209.432,6.278,8.074,3078.719,2.911,17.38,8.445,22.102,154.803,-3074.745,Lauren Peel
BIOT_7097_EAGL_077_RIG5,77,RIG5,Eagle Island,Eagle Island,06 11.798,71 18.989,11.9 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Damaged dorsal fin; female,18637,45.8002,836.753,1.919,11.539,1659.988,14.135,0.268,1.214,-388.624,-115.352,-1609.728,Lauren Peel
BIOT_7097_EAGL_077_RIG5,77,RIG5,Eagle Island,Eagle Island,06 11.798,71 18.989,11.9 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,18777,45.8781,832.61,3.17,13.277,2188.096,13.912,16.044,21.53,-449.373,-273.546,-2123.911,Lauren Peel
BIOT_7097_EAGL_077_RIG5,77,RIG5,Eagle Island,Eagle Island,06 11.798,71 18.989,11.9 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,Male,7922,57.5592,753.452,1.338,10.777,1333.003,3.695,9.565,7.472,-2.527,-85.876,-1330.232,Lauren Peel
BIOT_7097_EAGL_079_RIG3,79,RIG3,Eagle Island,Eagle Island,06 12.115,71 18.805,9.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Damaged caudal fin,24877,31.5527,841.521,1.878,45.148,1206.043,8.808,34.168,15.181,-97.792,-156.651,-1191.821,Lauren Peel
BIOT_7097_EAGL_080_RIG2,80,RIG2,Eagle Island,Eagle Island,06 12.242,71 18.684,7.8 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Passing,,13972,25.4883,931.883,2.995,4.51,2425.853,7.18,8.293,2.486,-104.964,284.452,-2406.83,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Attracted,,19062,10.6006,707.744,4.111,5.83,2161.979,13.688,26.129,16.392,-506.801,-70.005,-2100.572,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Triaenodon,obesus,37018038,1,Attracted,,22367,30.1568,967.645,4.423,5.893,2784.007,8.872,13.319,18.834,-423.175,-72.813,-2750.694,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,10761,59.138,821.766,4.126,6.919,2056.326,15.31,31.84,22.58,517.337,164.762,-1983.354,Lauren Peel
BIOT_7097_EGMT_081_RIG2,81,RIG2,Egmont,Ile Des Rats,06 38.094,71 19.276,9.6 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,10907,59.2192,858.548,5.225,5.589,4100.534,7.947,2.939,13.641,424.175,376.12,-4061.156,Lauren Peel
