Name,Date,Expedition,Atoll,Site,Transect,Quadrat,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,1898,2129,*CCAH
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2016,2456,*TURFH
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,1871,2497,*CCAH
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,1771,2738,*CCAH
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2548,402,*CCAH
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2487,513,*EMA
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2371,190,Sponge
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2798,1148,Sponge
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2708,1682,Sponge
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2740,1499,Sponge
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2614,1429,Sponge
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2597,1248,Sponge
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2753,2059,*CCAH
BIOT19_EgmontSite1_Mar3_T1_0m_IMG_0180.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,0m,,,,,,,,,,,,2478,1972,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,395,694,Macro
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,412,1109,Macro
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,208,2138,Sponge
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,228,1989,Sponge
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,476,2084,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,224,2007,Sponge
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,169,1764,Sponge
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,540,2143,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,650,160,Turfsa
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,683,636,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,633,1110,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,952,1077,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,562,1138,Turfsa
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,969,1457,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,624,1649,Macro
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,949,1473,*CCAH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,960,1821,*CCAH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,982,515,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1394,343,Macro
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1194,127,*CCAH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1131,770,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1025,1013,Macro
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1091,1018,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1246,1192,*CCAH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1287,1133,*CCAH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1106,1200,Turfsa
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1269,1427,*EMA
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,995,1627,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1005,1947,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1746,667,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1768,673,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1778,603,Hard
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1460,819,Turfsa
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1746,560,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1513,1078,*CCAH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1576,1171,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1500,1353,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1587,1412,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1798,1377,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1763,1360,*TURFH
BIOT19_EgmontSite1_Mar3_T1_12m_IMG_0156.jpeg,2019-03-03,2019,Egmont,Il Lubine,1,12m,,,,,,,,,,,,1524,2084,*TURFH
