Date,Island,Site,Name,GPS_south,GPS_east,Compass_bearing,Transect,Transect_placement,Treatment,Treatment_ABC,Tag_number,T_start_depth_ft,T_end_depth_ft,Notes,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,20m,Uncaged,,24,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,25m,Caged,,25,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,25m,Uncaged,,25,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,0m,Caged,,26,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,0m,Uncaged,,26,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,0m,Partial,,26,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,5m,Caged,,27,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,5m,Uncaged,,27,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,10m,Caged,,28,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,10m,Uncaged,,28,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,15m,Caged,,29,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,15m,Uncaged,,29,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,15m,Partial,,29,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,20m,Caged,,30,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,20m,Uncaged,,30,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,25m,Caged,,31,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,25m,Uncaged,,31,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,0m,Partial,,32,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,0m,Caged,,32,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,0m,Uncaged,,32,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,6m,Caged,,33,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,6m,Uncaged,,33,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,12m,Caged,,34,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,12m,Uncaged,,34,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,16m,Partial,,35,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,16m,Caged,,35,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,16m,Uncaged,,35,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,20m,Partial,,36,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,20m,Caged,,36,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,20m,Uncaged,,36,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,26m,Caged,,37,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,1,26m,Uncaged,,37,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,0m,Partial,,38,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,0m,Caged,,38,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,0m,Uncaged,,38,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,7m,Caged,,39,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,7m,Uncaged,,39,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,11m,Caged,,40,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,11m,Uncaged,,40,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,16m,Partial,,41,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,16m,Caged,,41,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,16m,Uncaged,,41,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,21m,Caged,,42,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,21m,Uncaged,,42,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,25m,Caged,,43,,,,,,,
10-Mar-19,Salomon,Il Anglaise Outside,Salomon1,,,35,2,25m,Uncaged,,43,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,1m,Partial,,44,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,1m,Caged,,44,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,1m,Uncaged,,44,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,5m,Caged,,45,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,5m,Uncaged,,45,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,10m,Caged,,46,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,10m,Uncaged,,46,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,14m,Partial,,47,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,14m,Caged,,47,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,14m,Uncaged,,47,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,20m,Partial,,48,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,20m,Caged,,48,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,20m,Uncaged,,48,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,25m,Caged,,49,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,305,1,25m,Uncaged,,49,,,,,,,
11-Mar-19,Salomon,Il Anglaise Lagoon,Salomon2,,,250,2,2m,Partial,,50,,,,,,,
